Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Code,Year,GDP-Growth,GDP-Per-Capita,GDP,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
131,GEO,Georgia,Tbilisi,Asia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.7214,0.9964,0.05,Georgia,GEO,1996,3.10490323485884,1424.10948851318,6043360994.22095,United States,Atlanta,Georgia,GEO,0,0,2
131,GEO,Georgia,Tbilisi,Asia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.7214,0.9964,0.05,Georgia,GEO,2000,5.47383749908896,1759.06983402048,6998485720.69797,Australia,Sydney,Georgia,GEO,0,0,6
131,GEO,Georgia,Tbilisi,Asia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.7214,0.9964,0.05,Georgia,GEO,2004,9.41977099664402,2541.05642238498,9860180665.4323,Greece,Athens,Georgia,GEO,2,2,0
131,GEO,Georgia,Tbilisi,Asia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.7214,0.9964,0.05,Georgia,GEO,2008,6.24948778888705,3073.52475273438,11638500813.5555,China,Beijing,Georgia,GEO,3,2,2
131,GEO,Georgia,Tbilisi,Asia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.7214,0.9964,0.05,Georgia,GEO,2012,4.62361326359952,3859.58204524666,14355383493.2391,Great Britain,London,Georgia,GEO,1,2,3
19,DEU,Germany,Berlin,Europe,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05,Germany,DEU,1992,2.45737182000687,34289.1247492873,2792449673947.87,Spain,Barcelona,Germany,GER,33,21,28
19,DEU,Germany,Berlin,Europe,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05,Germany,DEU,1996,1.97961840703675,36258.6744317081,2974922531539.87,United States,Atlanta,Germany,GER,20,18,27
19,DEU,Germany,Berlin,Europe,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05,Germany,DEU,2000,0.0,38512.9200411024,3176872812245.88,Australia,Sydney,Germany,GER,13,17,26
19,DEU,Germany,Berlin,Europe,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05,Germany,DEU,2004,3.70015957205484,40456.8573802769,3332692329600.37,Greece,Athens,Germany,GER,13,16,20
19,DEU,Germany,Berlin,Europe,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05,Germany,DEU,2008,4.07993330487069,41785.556912554,3417094562648.95,China,Beijing,Germany,GER,16,11,14
19,DEU,Germany,Berlin,Europe,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05,Germany,DEU,2012,2.17806656078447,45132.2736332789,3654924349507.01,Great Britain,London,Germany,GER,11,20,13
47,GHA,Ghana,Accra,Africa,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406,1.0196,0.42,Ghana,GHA,1960,4.10915860618199,1066.86271642828,7544822191.56204,Italy,Rome,Ghana,GHA,0,1,0
47,GHA,Ghana,Accra,Africa,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406,1.0196,0.42,Ghana,GHA,1964,-4.25829037246167,983.951060190981,7813960756.81338,Japan,Tokyo,Ghana,GHA,0,0,1
47,GHA,Ghana,Accra,Africa,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406,1.0196,0.42,Ghana,GHA,1972,6.85251683167101,1087.84761425099,10605539527.4848,West Germany,Munich,Ghana,GHA,0,0,1
47,GHA,Ghana,Accra,Africa,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406,1.0196,0.42,Ghana,GHA,1992,3.29999980878004,861.692205667313,14271065398.603,Spain,Barcelona,Ghana,GHA,0,0,1
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,1960,1.53351890576288,7545.85721616941,63749159946.9305,Italy,Rome,Greece,GRE,1,0,0
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,1968,7.95126909508153,13392.3081358857,117755967331.064,Mexico,Mexico City,Greece,GRE,0,0,1
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,1972,-6.43824058807144,15786.2695800376,141476895274.227,West Germany,Munich,Greece,GRE,0,2,0
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,1980,-1.13264749846516,18352.4398564881,179661448556.809,Soviet Union,Moscow,Greece,GRE,1,0,2
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,1984,0.517660102688382,18742.3160580413,186808656263.818,United States,Los Angeles,Greece,GRE,0,1,1
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,1988,0.0,19383.934648323,197653949750.543,South Korea,Seoul,Greece,GRE,0,0,1
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,1992,2.00000000655902,19591.3995220489,205962855046.137,Spain,Barcelona,Greece,GRE,2,0,0
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,1996,3.89490477247428,21902.738778458,234808508199.108,United States,Atlanta,Greece,GRE,4,4,0
